f1,f2,f3,f4,f5,val_score
Rmax,classic_sta_lta8_q05,modified_sta_lta5_q05,av_change_rate_roll_mean_1000,q05_roll_std_1000,2.3523850440979004
max_last_50000,q05_roll_std_1000,mean_change_rate,abs_max_roll_mean_10,q95_roll_mean_10,2.35241961479187
ave_roll_mean_10,q05_roll_mean_10,abs_q05,av_change_rate_roll_std_100v2,q05_roll_std_100,2.35245943069458
mean_diff,abs_q05,classic_sta_lta4_q95,std_roll_mean_10,q05_roll_std_10,2.3524794578552246
classic_sta_lta6_mean,std_roll_mean_1000,q05_roll_std_1000,Hann_window_mean,modified_sta_lta2_q05,2.35255765914917
std_roll_mean_100,modified_sta_lta5_q05,freq_cross_last_10000,q95_roll_mean_100,q05_roll_std_1000,2.352577209472656
abs_q01,modified_sta_lta6_q05,modified_sta_lta5_mean,q05_roll_std_10,modified_sta_lta4_mean,2.3526041507720947
std_last_10000,q05_roll_std_10,q01,classic_sta_lta2_q95,modified_sta_lta5_mean,2.3526418209075928
std_last_50000,modified_sta_lta5_mean,Rmax_last_15000,q05_roll_std_100,classic_sta_lta4_q05,2.3528151512146
min_roll_mean_100,av_change_rate_roll_mean_100_v2,q05_roll_std_10,modified_sta_lta1_q95,max_to_min,2.3529245853424072
modified_sta_lta1_q05,modified_sta_lta6_q95,std_last_50000,q05_roll_std_10,Imax,2.3529253005981445
q05_roll_std_100,Rmin_last_5000,modified_sta_lta1_q95,Moving_average_6000_mean,modified_sta_lta7_mean,2.352933645248413
Moving_average_6000_mean,q05_roll_std_1000,modified_sta_lta5_q05,q999,mad,2.352957010269165
modified_sta_lta5_q05,max_roll_mean_10,q05_roll_std_1000,Moving_average_700_mean,q95_roll_mean_10,2.3529655933380127
Imean,q05_roll_std_10,ave_roll_std_100,Rmin_last_5000,q05_roll_std_1000,2.352982997894287
classic_sta_lta5_mean,freq_cross_first_10000,Rmin_last_15000,classic_sta_lta8_q95,q05_roll_std_100,2.353000402450561
av_change_rate_roll_std_1000,q05_roll_std_1000,classic_sta_lta1_mean,ave_roll_mean_100,min_roll_std_100,2.35302472114563
exp_Moving_average_30000_mean,std_roll_std_10,Rstd_last_15000,abs_q05,mean_change_rate_v2,2.353034496307373
q01_roll_mean_100,Moving_average_3000_mean,q05_roll_std_100,modified_sta_lta1_q95,MA_700MA_BB_high_mean,2.3530652523040767
min_roll_std_1000,Rmax_last_5000,q05_roll_std_1000,q95_roll_mean_10,std_first_50000,2.3530828952789307
q05_roll_std_1000,av_change_abs_roll_mean_1000,modified_sta_lta6_q95,exp_Moving_average_3000_mean,av_change_rate_roll_mean_10_v2,2.353090047836304
min_roll_std_100,q05_roll_mean_100,q05_roll_std_1000,av_change_rate_roll_mean_10,classic_sta_lta2_mean,2.3531835079193115
Imin,mean_change_rate_first_50000,std_roll_std_10,q05_roll_std_1000,q05_roll_std_10,2.353220224380493
abs_max_roll_std_100,abs_max_roll_mean_1000,std_roll_mean_10,q05_roll_std_1000,q01_roll_std_10,2.3532540798187256
MA_700MA_BB_low_mean,q01_roll_std_10,q01_roll_std_1000,q05_roll_std_1000,Rstd__last_5000,2.353302478790283
avg_first_10000,q05_roll_std_1000,ave_roll_mean_100,avg_last_10000,std_first_10000,2.353327751159668
q999,q05_roll_mean_100,modified_sta_lta5_q05,q05_roll_std_100,ave_roll_std_10,2.353442668914795
q05_roll_std_10,classic_sta_lta6_q95,q01_roll_std_1000,q05_roll_mean_1000,classic_sta_lta1_q05,2.3534860610961914
ave_roll_std_100,q95_roll_mean_100,q05_roll_std_1000,classic_sta_lta2_q95,q05_roll_std_10,2.3534882068634038
q05_roll_std_1000,Hilbert_mean,MA_700MA_std_mean,av_change_abs_roll_std_1000,q95,2.353496551513672
classic_sta_lta5_mean,modified_sta_lta3_q05,abs_q01,modified_sta_lta2_q05,q05_roll_std_100,2.3535659313201904
av_change_rate_roll_std_10v2,classic_sta_lta3_q05,av_change_rate_roll_mean_100,q05_roll_std_1000,sum,2.3536217212677
q05_roll_std_10,modified_sta_lta4_mean,modified_sta_lta5_mean,Rstd__last_5000,classic_sta_lta5_mean,2.3536217212677
mean_change_rate_v2,std,q05_roll_std_1000,q05_roll_std_10,classic_sta_lta4_q05,2.353655815124512
modified_sta_lta5_q05,q01_roll_std_1000,av_change_rate_roll_std_10v2,q05_roll_std_10,kurt,2.353715181350708
Hann_window_mean,std_roll_mean_1000,q05_roll_std_10,abs_max_roll_std_10,modified_sta_lta6_q95,2.3537309169769287
Rmax,modified_sta_lta8_q95,q05,q05_roll_std_1000,q95_roll_std_1000,2.353827714920044
modified_sta_lta5_q95,q05_roll_std_100,q05_roll_mean_10,min_last_10000,MA_400MA_BB_high_mean,2.353882074356079
mean_change_rate_first_10000,q05_roll_std_10,modified_sta_lta5_q05,classic_sta_lta4_mean,classic_sta_lta5_q95,2.353973865509033
modified_sta_lta5_q05,mean_change_rate_last_50000_v2,q05_roll_std_100,sum,std_roll_std_1000,2.3539910316467285
q95,modified_sta_lta4_q95,q05_roll_std_1000,Moving_average_3000_mean,q99_roll_std_100,2.353992462158203
q05_roll_std_1000,avg_first_50000,Rmax_last_15000,modified_sta_lta3_q05,mean_change_rate,2.354004144668579
